1.048123941,7.936346887,6.936091949,2.170857488,3.55026921,8.276197243,4.59773009,2.316908336,3.028144859,7.815470629
9.665699428,1.848218105,3.695341313,5.641288834,2.39025793,4.014101763,5.247596337,2.234573895,1.151263862,9.306893459
3.272013962,4.568112768,4.79075235,6.279355561,4.825672189,7.325162463,7.915547338,4.002725985,2.986335581,8.358236902
7.509500803,6.143152576,6.716427871,6.573326073,9.7741974,4.603776951,5.672795268,8.449151421,2.599848698,6.481110438
5.281205025,3.809582446,1.769254555,8.052118353,1.94003631,7.608062013,4.134857805,7.53477864,4.093514285,1.838589336
8.331522213,6.110727725,8.136339266,1.689581986,1.168583815,4.090793066,8.358975064,3.470062047,3.689788796,9.697096141
4.171738463,8.559026866,3.99068972,9.653429044,7.855504767,6.763029743,1.218120361,1.559197268,2.391336755,3.647447087
2.092224884,7.749770275,2.759458541,2.911847604,9.62635835,6.117246066,7.564307626,5.548023592,6.880495265,5.127377453
5.943391671,1.939379311,5.7241746,3.954567028,9.018173203,1.101644278,5.829999726,5.68173054,1.23160188,9.947620661
9.996663142,5.496958772,5.428317027,2.574745177,2.075622721,6.222437414,2.992205172,7.290080262,2.375964536,1.495577798
